County,Health Facility Name,Latitude,Longitude,Subcounty
Kajiado,Mars Associate Medical Centre,-1.426190,36.69263,Kajiado North
Kajiado,Mid Hill Medical Clinic Ngong,-1.355900,36.67680,Kajiado North
Kajiado,Lodariak Dispensary,-1.629060,36.64119,Kajiado West
Kajiado,Rongai Uzima Medical Clinic,-1.396070,36.75590,Kajiado North
Kajiado,Mashuru Health Centre,-2.104420,37.12928,Kajiado East
Kajiado,Ilpolosat Dispensary,-1.756950,37.05516,Kajiado East
Kajiado,Supat Med Clinic,-1.534480,36.87110,Kajiado North
Kajiado,Kitengela Medical Services,-1.471150,36.96330,Kajiado East
Kajiado,Ngatataek Dispensary,-2.281320,36.80790,Kajiado Central
Kajiado,Loitokitok District Hospital,-2.924300,37.50484,Loitokitok
Kajiado,Embul - Bul Catholic Dispensary,-1.339510,36.68183,Kajiado North
Kajiado,Good Health Clinic (Kajoado),-1.234890,36.45095,Kajiado North
Kajiado,Rongai Diagnstic Laboratory,-1.396070,36.75590,Kajiado North
Kajiado,Maasai Medical Centre,-1.534480,36.87110,Kajiado East
Kajiado,Olorika Dispensary,-2.749050,37.66505,Loitokitok
Kajiado,Najile Dispensary,-1.216920,36.46369,Kajiado West
Kajiado,Ongata Medical Clinic,-1.387780,36.75230,Kajiado North
Kajiado,Oloika Dispensary,-2.039360,36.21256,Kajiado West
Kajiado,Mawawepi Medical And VCT Centre,-1.472560,36.95749,Kajiado East
Kajiado,Illasit Medical Clinic,-2.957990,37.57027,Loitokitok
Kajiado,Orinie (AIC) Clinic,-1.991580,36.86611,Kajiado Central
Kajiado,Elite Medical Clinic,-1.387780,36.75230,Kajiado Central
Kajiado,Olgumi Dispensary,-1.098420,36.43586,Kajiado West
Kajiado,New Life Mission Rotary Clinic,-0.195261,37.15750,Kajiado Central
Kajiado,Joster Medical Clinic,-1.430160,36.68635,Kajiado North
Kajiado,Ol-Malaika Health Centre,-1.566310,36.79930,Kajiado West
Kajiado,Immurtot Health Centre,-2.874050,37.40271,Loitokitok
Kajiado,Saikeri Dispensary,-1.399060,36.54208,Kajiado West
Kajiado,Namanga Health Centre,-2.543150,36.78729,Kajiado Central
Kajiado,Kipeto Dispensary,-1.580920,36.69547,Kajiado West
Kajiado,St Faith Medical Clinic (Kimana),-2.801140,37.53689,Loitokitok
Kajiado,Manyatta Medical Clinic,-1.534480,36.87110,Kajiado Central
Kajiado,Winners Medical Clinic,-1.476580,36.96112,Kajiado East
Kajiado,Bisil Health Centre,-2.085640,36.79429,Kajiado Central
Kajiado,Olkiramatian Dispensary,-1.872780,36.14742,Kajiado West
Kajiado,Fatima Health Centre (Lenkism),-2.399940,37.21487,Loitokitok
Kajiado,Rongai First Medical Centre,-1.396070,36.75590,Kajiado North
Kajiado,Loving Care (MCK) Health Centre,-2.174920,37.26050,Kajiado East
Kajiado,Cedar Medical Clinic (Kimana),-2.799770,37.53594,Loitokitok
Kajiado,Ongatta Cottage Medical Clinic,-1.238210,36.45491,Kajiado North
Kajiado,Nolasit Dispensary,-3.010880,37.85264,Loitokitok
Kajiado,Pelewa Dispensary (CDF),-2.052860,36.96441,Kajiado Central
Kajiado,Kiserian Medical Clinic,-1.428600,36.68643,Kajiado North
Kajiado,Kumpa Cmf Dispensary,-1.977270,36.79112,Kajiado Central
Kajiado,Kitengela Health Centre,-1.470360,36.95439,Kajiado East
Kajiado,Kajiado Christian Medical Centre,-1.818910,36.81146,Kajiado Central
Kajiado,Icross Dispensary,-1.549090,36.61934,Kajiado West
Kajiado,Entasopia Health Centre,-1.783780,36.05350,Kajiado West
Kajiado,Isinet Dispensary,-2.741210,37.50410,Loitokitok
Kajiado,Border Medical Care,-1.841890,36.78987,Kajiado Central
Kajiado,Boma la Tumaini VCT,-2.928760,37.50805,Loitokitok
Kajiado,Wama Nursing Home,-1.238510,36.45930,Kajiado North
Kajiado,Olosho-Oibor Dispensary,-1.413670,36.60078,Kajiado West
Kajiado,St Victors Medical Clinic,-1.384230,36.65530,Kajiado North
Kajiado,St Mary Health Centre (Kiserian),-1.402400,36.68320,Kajiado North
Kajiado,Oltepes Health Clinic,0.528165,36.13130,Kajiado Central
Kajiado,Salama Clinic,-1.355900,36.67680,Kajiado North
Kajiado,Isinya Health Centre,-1.688030,36.85117,Kajiado East
Kajiado,GSU Field Dispensary (Kajiado),-1.716420,36.36804,Kajiado North
Kajiado,Namayiana Clinic,-1.842490,36.78502,Kajiado Central
Kajiado,Iltilal Dispensary,-2.868350,37.87680,Loitokitok
Kajiado,Beacon of Hope Clinic (Kajiado),-1.394010,36.76284,Kajiado North
Kajiado,Entarara Health Centre,-2.995400,37.62565,Loitokitok
Kajiado,Sajiloni Dispensary,-1.876680,36.86264,Kajiado Central
Kajiado,Imbirikani AID VC,-2.545710,37.53122,Loitokitok
Kajiado,Aga Khan University Hospital O/R Clinic,-1.387780,36.75230,Kajiado North
Kajiado,Ewuaso Kedong Dispensary,-1.153110,36.49972,Kajiado West
